name;stars;contributors;commits;sbom_code;URL;path;dependencies;licenses;critical;high;medium;low;quality;format;version
github.com/0xbenc/skyway;8;0;0;2rezg1pc7e7faqk6fyfo.json;https://github.com/0xbenc/skyway/blob/0a669e2d46e009d136606f4a1569de9556d0a496/src/sbom.json;src/sbom.json;40;40;0;0;0;0;7.38;JSON;SPDX
github.com/ARM-software/CMSIS-FreeRTOS;523;0;0;iqtcs9d0799o383lsbzq.spdx;https://github.com/ARM-software/CMSIS-FreeRTOS/blob/e4de86fdd14cf2bb35c0586b21f5929de3d27077/Source/sbom.spdx;Source/sbom.spdx;0;0;0;0;0;0;6.52;SPDX;SPDX
github.com/ARM-software/android-nn-driver;151;0;0;9kqz3zjzl5ijrfa7vyq8.spdx;https://github.com/ARM-software/android-nn-driver/blob/8bb7c0e622d9adfd685c7a3cd7a5a9f009788db3/LICENSE.spdx;LICENSE.spdx;0;0;0;0;0;0;4.13;SPDX;SPDX
github.com/ARM-software/armnn;1168;0;0;pol9mz35klp518jpzguw.spdx;https://github.com/ARM-software/armnn/releases/download/v24.02/ArmNN-linux-x86_64.tar.gz;LICENSES.armnn-linux-x86.spdx;0;0;0;0;0;0;0;SPDX;SPDX
github.com/ARM-software/armnn;1168;0;0;af7viw2957z5ooep5pjn.spdx;https://github.com/ARM-software/armnn/releases/download/v24.02/ArmNN-android-33-arm64-v8.6-a-sve2.tar.gz;LICENSES.armnn-android-33-arm64-v8.6-a-sve2.spdx;0;0;0;0;0;0;0;SPDX;SPDX
github.com/ARM-software/armnn;1168;0;0;7ousv7fehotjmuob82jc.spdx;https://github.com/ARM-software/armnn/blob/a75ae30ac3849a37ec39698dc046460d5ab9a1cd/LICENSE.spdx;LICENSE.spdx;0;0;0;0;0;0;6.3;SPDX;SPDX
github.com/AdrianKoshka/AIS;0;0;0;ysnp1u95d4sum1701i8u.spdx;https://github.com/AdrianKoshka/AIS/blob/06a9d303cad34d8343d9f041556de09b29f123d5/LICENSE.spdx;LICENSE.spdx;0;0;0;0;0;0;0;SPDX;SPDX
github.com/AdrianKoshka/config;7;0;0;tulkfpujovvm7kt5qhw0.spdx;https://github.com/AdrianKoshka/config/blob/46d3de815a03aebc12b5c6efb33a5535034ba510/LICENSE.spdx;LICENSE.spdx;0;0;0;0;0;0;0;SPDX;SPDX
github.com/Airspace-Encounter-Models/em-core;2;0;0;rrhvpsof4nsqng8q6ma4.spdx;https://github.com/Airspace-Encounter-Models/em-core/blob/9ca7f6cc02de257b326dba819e5e4c445f4cfa4f/SPDX.spdx;SPDX.spdx;0;0;0;0;0;0;0;SPDX;SPDX
github.com/Airspace-Encounter-Models/em-model-geospatial;2;0;0;mhrbmvifbw344c13nomb.spdx;https://github.com/Airspace-Encounter-Models/em-model-geospatial/blob/f2a5d5fabee6559be28fd0572e1491564d17be20/SPDX.spdx;SPDX.spdx;0;0;0;0;0;0;0;SPDX;SPDX
github.com/Airspace-Encounter-Models/em-model-manned-bayes;14;0;0;rbnamjymhrziaebgm83c.spdx;https://github.com/Airspace-Encounter-Models/em-model-manned-bayes/blob/55bcfd688e5abe7c0288db6fa5cda91edb308cb2/SPDX.spdx;SPDX.spdx;0;0;0;0;0;0;0;SPDX;SPDX
github.com/Airspace-Encounter-Models/em-pairing-geospatial;5;0;0;crg1rovtbrms09uka1vn.spdx;https://github.com/Airspace-Encounter-Models/em-pairing-geospatial/blob/e5cd6f55654dcd83e7cc1e0fb4c9767d0b049e3e/SPDX.spdx;SPDX.spdx;0;0;0;0;0;0;0;SPDX;SPDX
github.com/Amebis/eduEd25519;0;0;0;sv6eluxcbj1g7fzm603v.spdx;https://github.com/Amebis/eduEd25519/blob/232c137d93e80455750b02fcdeb89d48147ebb4e/LICENSE.spdx;LICENSE.spdx;0;0;0;0;0;0;0;SPDX;SPDX
github.com/Amebis/eduEx;0;0;0;i2akmayoipq2vknbb73s.spdx;https://github.com/Amebis/eduEx/blob/7e31b7537965211704d3a3aad966166d5e474972/LICENSE.spdx;LICENSE.spdx;0;0;0;0;0;0;0;SPDX;SPDX
github.com/Amebis/eduJSON;1;0;0;n59pv2ywwnunstesnws4.spdx;https://github.com/Amebis/eduJSON/blob/6034ac1370ca93c3ec495a29a00604f35d795a1b/LICENSE.spdx;LICENSE.spdx;0;0;0;0;0;0;0;SPDX;SPDX
github.com/Amebis/eduLibsodium;0;0;0;8sbk92fpfmiczc2zpzi0.spdx;https://github.com/Amebis/eduLibsodium/blob/b3e745549cce7d4050bfa238688d615eb28edfde/LICENSE.spdx;LICENSE.spdx;0;0;0;0;0;0;0;SPDX;SPDX
github.com/Amebis/eduOAuth;2;0;0;5rvrx1fcfwmp1n2incfe.spdx;https://github.com/Amebis/eduOAuth/blob/e898aa1233175f76694e05bb1a8ac4e48ddba929/LICENSE.spdx;LICENSE.spdx;0;0;0;0;0;0;0;SPDX;SPDX
github.com/Amebis/eduOpenVPN;6;0;0;hdowv6n6m8rktenvu0sb.spdx;https://github.com/Amebis/eduOpenVPN/blob/5add144da040309791d39f64bdf11f3a019a621f/LICENSE.spdx;LICENSE.spdx;0;0;0;0;0;0;0;SPDX;SPDX
github.com/Amebis/eduVPN;40;0;0;a5duskdg0f7ots3kqlsz.spdx;https://github.com/Amebis/eduVPN/blob/6db4d347eb1766a25f9cc9e68a72e8728fc9fd79/LICENSE.spdx;LICENSE.spdx;0;0;0;0;0;0;0;SPDX;SPDX
github.com/ArneBachmann/sos;6;0;0;i80rg73f89tr8z459hae.spdx;https://github.com/ArneBachmann/sos/blob/f82a1e1f97d69f7eafc3c152ef61c2b11c316bbc/LICENSE.spdx;LICENSE.spdx;0;0;0;0;0;0;0;SPDX;SPDX
github.com/Azure/missionlz-edge;13;0;0;5b9ww0ze3puhir7fjbl6.json;https://github.com/Azure/missionlz-edge/blob/1a77f73c922a5736cc2f9f35194ccff30a0a75be/_manifest/spdx_2.2/manifest.spdx.json;_manifest/spdx_2.2/manifest.spdx.json;2;0;0;0;0;0;0;JSON;SPDX
github.com/BonexGoo/Boss2D;33;0;0;4bomo9uj6r8qje46avrb.json;https://github.com/BonexGoo/Boss2D/blob/f8f11d140fabe534dbdcdacabaa12dba810e3e13/Boss2D/addon/cpython-3.12.2_for_boss/Misc/sbom.spdx.json;Boss2D/addon/cpython-3.12.2_for_boss/Misc/sbom.spdx.json;30;0;0;0;3;0;4.88;JSON;SPDX
